Question,Answer
"what is rapidfuzz","RapidFuzz is a Python library used for fuzzy string matching and typo correction."
"what is pandas","Pandas is a Python library used for data analysis manipulation and handling structured data."
"what is numpy","NumPy is a Python library used for numerical computing and mathematical operations."
"what is scikit learn","Scikit-learn is a popular Python machine learning library used for predictive analytics and data modeling."
"what is matplotlib","Matplotlib is a Python library used for creating charts graphs and data visualizations."
"what is seaborn","Seaborn is a Python data visualization library built on top of Matplotlib."
"what is tensorflow","TensorFlow is an open-source deep learning framework developed by Google."
"what is pytorch","PyTorch is a machine learning framework widely used for deep learning research and applications."
"what is cloud computing","Cloud computing provides computing services such as storage servers and software over the internet."
"what is aws","AWS or Amazon Web Services is a cloud computing platform offering scalable infrastructure and services."
"what is azure","Microsoft Azure is a cloud computing platform for building deploying and managing applications."
"what is google cloud","Google Cloud Platform provides cloud computing services for application development and deployment."
"what is cybersecurity","Cybersecurity is the practice of protecting systems networks and data from cyber threats and attacks."
"what is encryption","Encryption is the process of converting readable data into secure encoded information to prevent unauthorized access."
"what is firewall","A firewall is a security system that monitors and controls incoming and outgoing network traffic."
"what is malware","Malware is malicious software designed to damage systems or steal sensitive information."
"what is virus","A computer virus is harmful software capable of spreading between systems and files."
"what is phishing","Phishing is a cyber attack technique used to trick users into revealing confidential information."
"what is network","A network is a group of connected computers and devices that communicate and share resources."
"what is ip address","An IP address is a unique identifier assigned to devices connected to a network."
"what is dns","DNS or Domain Name System converts domain names into IP addresses."
"what is http","HTTP is a communication protocol used for transferring data across the internet."
"what is https","HTTPS is the secure encrypted version of the HTTP protocol."
"what is browser","A browser is software used to access search and interact with websites on the internet."
"what is responsive design","Responsive design ensures websites adapt properly to different screen sizes and devices."
"what is internship","An internship provides practical industry experience and professional skill development opportunities."
"what is resume","A resume is a professional document summarizing education skills projects and work experience."
"what is portfolio","A portfolio showcases technical projects achievements and professional skills."
"what is open source","Open source software allows users to access modify and distribute source code freely."
"what is hackathon","A hackathon is a collaborative coding event focused on innovation and problem solving."
"what is blockchain","Blockchain is a decentralized digital ledger technology used for secure transaction recording."
"what is iot","IoT or Internet of Things refers to interconnected smart devices communicating over the internet."
"what is big data","Big Data refers to extremely large and complex datasets requiring advanced processing tools."
"what is analytics","Analytics involves examining data to identify patterns insights and trends."
"what is business intelligence","Business Intelligence uses technologies and strategies for data-driven business decisions."
"what is virtual machine","A virtual machine is a software-based emulation of a physical computer system."
"what is docker","Docker is a platform used to develop deploy and manage containerized applications."
"what is kubernetes","Kubernetes is a container orchestration platform for automating deployment scaling and management."
"what is deployment","Deployment is the process of making software applications available to end users."
"what is streamlit cloud","Streamlit Cloud is a hosting platform used for deploying Streamlit applications online."
"what is vscode","Visual Studio Code is a lightweight and powerful source code editor developed by Microsoft."
"what is pycharm","PyCharm is a professional Integrated Development Environment designed for Python programming."
"what is jupyter notebook","Jupyter Notebook is an interactive environment used for coding data analysis and machine learning."
"what is coding","Coding is the process of writing instructions for computers using programming languages."
"what is programming","Programming is the process of designing developing testing and maintaining software applications."
"what is software","Software is a collection of programs and instructions used to perform tasks on computers."
"what is hardware","Hardware refers to the physical components of a computer system."
"what is cpu","CPU or Central Processing Unit is the primary processor responsible for executing instructions."
"what is ram","RAM or Random Access Memory temporarily stores active data used by the computer."
"what is gpu","GPU or Graphics Processing Unit handles graphics rendering and parallel processing tasks."
"what is motherboard","The motherboard is the main circuit board connecting all hardware components in a computer."
"what is internet","The internet is a global network connecting millions of computers and devices worldwide."
"what is data mining","Data Mining is the process of discovering useful patterns trends and insights from large datasets."
"what is cloud storage","Cloud storage allows users to store and access data over the internet instead of local devices."
"what is web development","Web development involves creating and maintaining websites and web applications."
"what is mobile app development","Mobile app development is the process of building applications for smartphones and tablets."
"what is android","Android is a mobile operating system developed by Google."
"what is ios","iOS is Apple's mobile operating system used in iPhones and iPads."
"what is software testing","Software testing is the process of checking software for bugs errors and performance issues."
"what is unit testing","Unit testing verifies individual components or functions of a software application."
"what is integration testing","Integration testing checks whether multiple software modules work together properly."
"what is manual testing","Manual testing is the process of testing software manually without automation tools."
"what is automation testing","Automation testing uses tools and scripts to test software automatically."
"what is selenium","Selenium is a popular automation testing framework used for web applications."
"what is ui testing","UI testing validates the graphical user interface of an application."
"what is api testing","API testing verifies the functionality reliability and performance of APIs."
"what is software bug","A software bug is an error flaw or fault that causes incorrect behavior in a program."
"what is exception handling","Exception handling is the process of managing runtime errors in a program."
"what is syntax error","A syntax error occurs when code violates the programming language rules."
"what is runtime error","A runtime error occurs while a program is executing."
"what is logical error","A logical error occurs when a program runs but produces incorrect results."
"what is inheritance","Inheritance is an Object-Oriented Programming concept where one class acquires properties from another class."
"what is polymorphism","Polymorphism allows methods or objects to behave differently based on context."
"what is encapsulation","Encapsulation is the process of hiding internal implementation details within a class."
"what is abstraction","Abstraction hides unnecessary details and exposes only essential functionality."
"what is constructor","A constructor is a special method used to initialize objects in a class."
"what is destructor","A destructor is a method automatically called when an object is destroyed."
"what is static method","A static method belongs to the class rather than an object instance."
"what is inheritance in java","Inheritance in Java allows one class to acquire methods and properties of another class."
"what is package in java","A package in Java is used to organize related classes and interfaces."
"what is multithreading","Multithreading allows multiple threads to execute concurrently within a program."
"what is thread","A thread is the smallest unit of execution within a process."
"what is process","A process is an instance of a program in execution."
"what is operating system kernel","The kernel is the core component of an operating system responsible for managing hardware and system resources."
"what is scheduling","Scheduling is the process of managing CPU execution among multiple processes."
"what is deadlock","Deadlock occurs when processes are unable to proceed because they are waiting for each other."
"what is semaphore","A semaphore is a synchronization mechanism used in operating systems."
"what is paging","Paging is a memory management technique used in operating systems."
"what is cache memory","Cache memory is high-speed memory used to store frequently accessed data."
"what is virtual memory","Virtual memory is a memory management technique that extends RAM using disk storage."
"what is compiler design","Compiler design involves creating programs that translate source code into machine code."
"what is lexical analysis","Lexical analysis converts source code into tokens during compilation."
"what is parser","A parser analyzes the grammatical structure of source code."
"what is token","A token is the smallest meaningful unit in source code."
"what is finite automata","Finite automata are computational models used in compiler design and automata theory."
"what is dbms normalization","Normalization organizes database tables to reduce redundancy and improve efficiency."
"what is sql join","SQL JOIN combines rows from multiple database tables based on related columns."
"what is inner join","INNER JOIN returns matching records from two tables."
"what is left join","LEFT JOIN returns all records from the left table and matching records from the right table."
"what is right join","RIGHT JOIN returns all records from the right table and matching records from the left table."
"what is primary key in sql","A primary key uniquely identifies each record in a database table."
"what is foreign key in sql","A foreign key establishes relationships between database tables."
"what is normalization","Normalization is the process of organizing data in a database to minimize redundancy."
"what is denormalization","Denormalization combines tables to improve database performance."
"what is data warehouse","A data warehouse stores integrated data from multiple sources for analysis and reporting."
"what is business analytics","Business analytics uses data analysis and statistical methods to support decision-making."
"what is machine vision","Machine vision enables systems to capture analyze and interpret visual information automatically."
"what is recommendation system","A recommendation system suggests products services or content based on user preferences."
"what is chatbot development","Chatbot development involves creating conversational AI systems for user interaction."
"what is prompt engineering","Prompt engineering is the process of designing effective prompts for AI models."
"what is large language model","A Large Language Model is an advanced AI model trained on massive text datasets."
"what is generative model","A generative model creates new content such as text images audio or code."
"what is transfer learning","Transfer learning uses knowledge from one trained model to solve another related problem."
"what is supervised learning","Supervised learning trains models using labeled datasets."
"what is unsupervised learning","Unsupervised learning identifies patterns in unlabeled data."
"what is reinforcement learning","Reinforcement learning trains agents through rewards and penalties."
"what is overfitting","Overfitting occurs when a model performs well on training data but poorly on new data."
"what is underfitting","Underfitting occurs when a model cannot capture patterns from training data effectively."
"what is feature engineering","Feature engineering involves selecting and transforming variables for machine learning models."
"what is data preprocessing","Data preprocessing cleans transforms and prepares raw data for analysis."
"what is classification","Classification is a machine learning task used to categorize data into predefined classes."
"what is regression","Regression predicts continuous numerical values using machine learning techniques."
"what is clustering","Clustering groups similar data points together without predefined labels."
"what is accuracy in machine learning","Accuracy measures how correctly a machine learning model predicts outcomes."
"what is precision","Precision measures how many predicted positive results are actually correct."
"what is recall","Recall measures how many actual positive cases are identified correctly."
"what is f1 score","F1 Score is the harmonic mean of precision and recall."
"what is confusion matrix","A confusion matrix evaluates the performance of classification models."
"what is natural language understanding","Natural Language Understanding enables systems to interpret human language meaning."
"what is speech synthesis","Speech synthesis converts text into spoken audio."
"what is voice assistant","A voice assistant is an AI system that interacts using voice commands."
"what is chatbot ui","Chatbot UI refers to the user interface design of conversational applications."
"what is authentication in web development","Authentication verifies user identity before granting system access."
"what is authorization in web development","Authorization determines the permissions granted to authenticated users."
"what is jwt","JWT or JSON Web Token is used for secure authentication and data exchange."
"what is session management","Session management tracks user activity and authentication states in web applications."
"what is cookies","Cookies are small files stored in browsers to save user information and preferences."
"what is local storage","Local storage stores data persistently in a user's web browser."
"what is responsive web design","Responsive web design ensures websites work properly across different devices and screen sizes."
"what is bootstrap","Bootstrap is a frontend framework used for responsive web development."
"what is tailwind css","Tailwind CSS is a utility-first CSS framework used for modern UI design."
"what is ui","UI or User Interface refers to the visual elements users interact with."
"what is ux","UX or User Experience focuses on improving user satisfaction and usability."
"what is software deployment","Software deployment is the process of releasing applications to production environments."
"what is continuous integration","Continuous Integration automates code integration and testing during development."
"what is continuous deployment","Continuous Deployment automatically releases verified code changes to production."
"what is devops","DevOps combines development and operations practices to improve software delivery."
"what is agile","Agile is a flexible software development methodology focused on iterative progress."
"what is scrum","Scrum is an Agile framework used for project management and team collaboration."
"what is kanban","Kanban is a workflow management method used for continuous task tracking."
"what is project management","Project management involves planning organizing and managing resources to achieve goals."
"what is business communication","Business communication refers to professional information exchange within organizations."
"what is leadership","Leadership is the ability to guide motivate and manage teams effectively."
"what is teamwork","Teamwork involves collaborative effort among individuals to achieve common goals."
"what is time management","Time management is the process of organizing tasks to maximize productivity."
"what is problem solving","Problem solving involves identifying analyzing and resolving challenges effectively."
"what is critical thinking","Critical thinking is the ability to analyze information logically and make reasoned decisions."
